λ	P0 теория	P0 практика	Pn теория	Pn практика	Q теория	Q практика	A теория	A практика	k теория	k практика
0,10	0,8187	0,0000	0,0000	0,0000	1,0000	1,0000	0,1000	0,1000	0,20	0,20
0,31	0,5368	0,0000	0,0004	0,0000	0,9996	1,0000	0,3110	0,3111	0,62	0,62
0,52	0,3521	0,0000	0,0036	0,0000	0,9964	1,0000	0,5203	0,5222	1,04	1,04
0,73	0,2316	0,0000	0,0131	0,0000	0,9869	1,0000	0,7237	0,7333	1,45	1,47
0,94	0,1532	0,0000	0,0307	0,0000	0,9693	1,0000	0,9154	0,9444	1,83	1,89
1,16	0,1023	0,1000	0,0562	0,1000	0,9438	0,9000	1,0906	1,0400	2,18	2,08
1,37	0,0691	0,0000	0,0879	0,0000	0,9121	1,0000	1,2466	1,3667	2,49	2,73
1,58	0,0474	0,0000	0,1235	0,0000	0,8765	1,0000	1,3829	1,5778	2,77	3,16
1,79	0,0330	0,1000	0,1611	0,1000	0,8389	0,9000	1,5007	1,6100	3,00	3,22
2,00	0,0233	0,3000	0,1991	0,3000	0,8009	0,7000	1,6019	1,4000	3,20	2,80
